time,latitude,longitude,altitude,speed,course,temperature,pressure,voltage,type
2024-10-29 14:00:29,34.68983,-117.67183,897.9408,0.0,83.0,8.6,894.96,8.46,Light APRS
2024-10-29 14:00:29,34.68983,-117.67183,897.9408,0.0,83.0,8.6,894.96,8.46,Light APRS
